Reported_date_surrogate_key,Reported_date_key,Date,Day,Month,Day_of_Week,Week_in_Year,Weekend,Holiday,Season
88,Re20201128,2020-11-28,28,November,Saturday,48,Yes,No,Autumn
89,Re20201129,2020-11-29,29,November,Sunday,48,Yes,No,Autumn
90,Re20201130,2020-11-30,30,November,Monday,49,No,No,Autumn
91,Re20201201,2020-12-01,1,December,Tuesday,49,No,No,Autumn
92,Re20201202,2020-12-02,2,December,Wednesday,49,No,No,Autumn
93,Re20201203,2020-12-03,3,December,Thursday,49,No,No,Autumn
94,Re20201204,2020-12-04,4,December,Friday,49,No,No,Autumn
95,Re20201205,2020-12-05,5,December,Saturday,49,Yes,No,Autumn
96,Re20201206,2020-12-06,6,December,Sunday,49,Yes,No,Autumn
97,Re20201207,2020-12-07,7,December,Monday,50,No,No,Autumn
98,Re20201208,2020-12-08,8,December,Tuesday,50,No,No,Autumn
99,Re20201209,2020-12-09,9,December,Wednesday,50,No,No,Autumn
100,Re20201210,2020-12-10,10,December,Thursday,50,No,No,Autumn
101,Re20201211,2020-12-11,11,December,Friday,50,No,No,Autumn
102,Re20201212,2020-12-12,12,December,Saturday,50,Yes,No,Autumn
103,Re20201213,2020-12-13,13,December,Sunday,50,Yes,No,Autumn
104,Re20201214,2020-12-14,14,December,Monday,51,No,No,Autumn
105,Re20201215,2020-12-15,15,December,Tuesday,51,No,No,Autumn
106,Re20201216,2020-12-16,16,December,Wednesday,51,No,No,Autumn
107,Re20201217,2020-12-17,17,December,Thursday,51,No,No,Autumn
108,Re20201218,2020-12-18,18,December,Friday,51,No,No,Autumn
109,Re20201219,2020-12-19,19,December,Saturday,51,Yes,No,Autumn
110,Re20201220,2020-12-20,20,December,Sunday,51,Yes,No,Autumn
111,Re20201221,2020-12-21,21,December,Monday,52,No,No,Winter
112,Re20201222,2020-12-22,22,December,Tuesday,52,No,No,Winter
113,Re20201223,2020-12-23,23,December,Wednesday,52,No,No,Winter
114,Re20201224,2020-12-24,24,December,Thursday,52,No,No,Winter
115,Re20201225,2020-12-25,25,December,Friday,52,No,Christmas,Winter
116,Re20201226,2020-12-26,26,December,Saturday,52,Yes,Boxing Day,Winter
117,Re20201227,2020-12-27,27,December,Sunday,52,Yes,No,Winter
118,Re20201228,2020-12-28,28,December,Monday,53,No,No,Winter
119,Re20201229,2020-12-29,29,December,Tuesday,53,No,No,Winter
120,Re20201230,2020-12-30,30,December,Wednesday,53,No,No,Winter
121,Re20201231,2020-12-31,31,December,Thursday,53,No,No,Winter
