id,Day,Month,Day_of_Week,Week_in_Year,Weekend,Holiday,Season,,,,,
2020-12-07,7,December,Monday,50,No,No,Autumn,,,,,
2020-12-08,8,December,Tuesday,50,No,No,Autumn,,,,,
2020-12-09,9,December,Wednesday,50,No,No,Autumn,,,,,
2020-12-10,10,December,Thursday,50,No,No,Autumn,,,,,
2020-12-11,11,December,Friday,50,No,No,Autumn,,,,,
2020-12-12,12,December,Saturday,50,Yes,No,Autumn,,,,,
2020-12-13,13,December,Sunday,50,Yes,No,Autumn,,,,,
2020-12-14,14,December,Monday,51,No,No,Autumn,,,,,
2020-12-15,15,December,Tuesday,51,No,No,Autumn,,,,,
2020-12-16,16,December,Wednesday,51,No,No,Autumn,,,,,
2020-12-17,17,December,Thursday,51,No,No,Autumn,,,,,
2020-12-18,18,December,Friday,51,No,No,Autumn,,,,,
2020-12-19,19,December,Saturday,51,Yes,No,Autumn,,,,,
2020-12-20,20,December,Sunday,51,Yes,No,Autumn,,,,,
2020-12-21,21,December,Monday,52,No,No,Winter,,,,,
2020-12-22,22,December,Tuesday,52,No,No,Winter,,,,,
2020-12-23,23,December,Wednesday,52,No,No,Winter,,,,,
2020-12-24,24,December,Thursday,52,No,No,Winter,,,,,
2020-12-25,25,December,Friday,52,No,Christmas,Winter,,,,,
2020-12-26,26,December,Saturday,52,Yes,Boxing Day,Winter,,,,,
2020-12-27,27,December,Sunday,52,Yes,No,Winter,,,,,
2020-12-28,28,December,Monday,53,No,No,Winter,,,,,
2020-12-29,29,December,Tuesday,53,No,No,Winter,,,,,
2020-12-30,30,December,Wednesday,53,No,No,Winter,,,,,
2020-12-31,31,December,Thursday,53,No,No,Winter,,,,,
